ID_ESTADO,D_DISTRITO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,TIPO_CANDIDATURA,CASILLA,ESTATUS_ACTA,ORDEN,LISTA_NOMINAL_CASILLA,ID_GRUPO,TIPO_RECUENTO,NUM_VOTOS_NULOS,NUM_VOTOS_CAN_NREG,NUMERO_VOTOS_VALIDOS,TOTAL_VOTOS,BOLETAS_INUTILIZADAS,PAN,PRI,PRD,PVEM,PT,MC,PANAL,PRI_PVEM,PRD_PT_MC,PRD_PT,PRD_MC,PT_MC,ID_MUNICIPIO,LISTA_NOMINAL,VOTOS_RESERVADOS,pan,pri,prd
8,1,2513,1,B,0,1,2,5,293,715,1,2,15,0,315,330,386,94,144,37,5,3,1,3,18,9,1,0,0,53,701,NA,94,167,51
20,6,2434,1,B,0,1,2,1,493,587,NA,NA,12,1,217,229,NA,52,111,20,9,5,0,1,16,2,0,0,0,568,573,NA,52,136,27
21,2,814,1,B,0,1,2,1,142,492,NA,NA,19,0,272,291,NA,42,93,49,2,21,3,8,33,13,7,1,0,96,478,NA,42,128,94
21,14,341,2,E,0,1,2,5,70,201,4,2,3,0,120,123,78,7,44,39,4,3,0,0,8,6,8,1,0,43,187,NA,7,56,57
21,2,473,1,E,0,1,2,1,55,399,NA,NA,10,0,258,268,NA,71,97,24,9,8,2,1,32,10,1,3,0,54,385,NA,71,138,48
11,4,878,8,C,0,1,1,1,298,762,NA,NA,7,0,448,455,NA,158,144,73,10,6,3,16,24,12,1,1,0,15,748,NA,158,178,96
30,8,59,1,B,0,1,2,5,28,264,1,3,5,0,163,168,96,88,19,32,0,3,7,3,5,5,1,0,0,4,250,NA,88,24,48
30,5,3201,1,C,0,1,1,5,291,441,3,2,1,0,271,272,167,73,90,49,4,4,3,9,17,15,6,0,1,132,427,NA,73,111,78
15,28,5882,11,C,0,1,2,1,333,742,NA,NA,9,0,385,394,NA,75,124,86,4,4,5,19,40,23,2,2,1,121,728,NA,75,168,123
31,1,969,1,B,0,1,2,1,307,523,NA,NA,9,0,385,394,NA,133,205,15,4,2,2,4,17,2,1,0,0,96,509,NA,133,226,22
26,3,1344,1,B,0,1,1,5,399,483,2,2,2,0,247,249,214,88,80,40,1,2,1,2,25,7,1,0,0,49,469,NA,88,106,51
5,5,1252,1,B,0,1,1,1,227,747,NA,NA,10,0,436,446,NA,114,189,61,0,9,9,6,32,12,3,1,0,35,733,NA,114,221,95
29,1,183,1,C,0,1,1,5,205,612,3,2,13,0,380,393,222,94,91,89,4,8,11,17,24,37,5,0,0,13,598,NA,94,119,150
2,6,863,1,B,0,1,1,1,267,518,NA,NA,5,0,317,322,NA,109,95,52,4,5,4,4,27,10,5,1,1,4,504,NA,109,126,78
10,3,687,1,E,0,1,2,1,227,142,NA,NA,5,0,95,100,NA,59,23,5,0,0,0,3,3,1,1,0,0,11,128,NA,59,26,7
15,39,1111,2,C,0,1,1,5,12,614,3,3,3,0,404,407,207,39,149,106,4,12,13,8,40,27,2,4,0,30,600,NA,39,193,164
