clave,turno,tipo,mun,esp_3,esp_6
09DPR1051B,VESPERTINO,GENERAL,17,522.94,504.13
09DPR1052A,MATUTINO,GENERAL,17,579.24,556.44
09DPR1053Z,MATUTINO,GENERAL,28,507.36,597.63
09DPR1054Z,VESPERTINO,GENERAL,28,574.43,709.91
09DPR1059U,MATUTINO,GENERAL,28,556.6,567.42
09DPR1061I,MATUTINO,GENERAL,28,767.51,563.7
09DPR1062H,MATUTINO,GENERAL,28,481.79,521.78
09DPR1063G,MATUTINO,GENERAL,28,570.51,575.86
09DPR1064F,MATUTINO,GENERAL,28,546.19,521.54
09DPR1065E,MATUTINO,GENERAL,28,550.6,550.71
09DPR1067C,MATUTINO,GENERAL,17,550.19,578.61
09DPR1068B,VESPERTINO,GENERAL,17,497.21,526.95
09DPR1069A,MATUTINO,GENERAL,28,557.78,569.29
09DPR1070Q,VESPERTINO,GENERAL,28,516.32,590.96
09DPR1071P,MATUTINO,GENERAL,17,545.48,543.88
09DPR1072O,VESPERTINO,GENERAL,17,569.23,566.15
09DPR1073N,VESPERTINO,GENERAL,28,486.99,516.57
09DPR1074M,MATUTINO,GENERAL,28,562.82,592.08
09DPR1075L,VESPERTINO,GENERAL,18,530.76,553.8
09DPR1076K,MATUTINO,GENERAL,18,583.27,559.72
09DPR1077J,VESPERTINO,GENERAL,17,566.98,521.24
09DPR1078I,MATUTINO,GENERAL,28,512.72,540.05
09DPR1079H,MATUTINO,GENERAL,17,536.9,518.84
09DPR1080X,MATUTINO,GENERAL,17,534.81,579.43
09DPR1081W,VESPERTINO,GENERAL,17,578.73,575.12
09DPR1082V,MATUTINO,GENERAL,28,533.99,568.2
09DPR1083U,VESPERTINO,GENERAL,18,519.71,513.68
09DPR1085S,MATUTINO,GENERAL,28,509.9,517.52
09DPR1086R,MATUTINO,GENERAL,18,540.71,547.44
09DPR1087Q,MATUTINO,GENERAL,28,556.57,574.39
09DPR1089O,VESPERTINO,GENERAL,16,528.88,555.99
09DPR1091C,MATUTINO,GENERAL,17,550,569.75
09DPR1092B,MATUTINO,GENERAL,16,547.14,555.93
09DPR1093A,MATUTINO,GENERAL,27,568.09,570.9
09DPR1094Z,MATUTINO,GENERAL,27,587.59,601.37
09DPR1095Z,MATUTINO,GENERAL,17,541.16,528.14
09DPR1096Y,MATUTINO,GENERAL,27,575.48,560.12
09DPR1097X,MATUTINO,GENERAL,26,624.5,508
09DPR1101T,VESPERTINO,GENERAL,27,552.2,545.3
09DPR1104Q,MATUTINO,GENERAL,27,572.62,609.75
09DPR1105P,VESPERTINO,GENERAL,27,549.48,534.94
09DPR1106O,MATUTINO,GENERAL,27,589.35,600.3
09DPR1108M,MATUTINO,GENERAL,25,574.76,566.56
09DPR1110A,MATUTINO,GENERAL,26,552.26,555.56
09DPR1111Z,MATUTINO,GENERAL,26,561.42,548.71
09DPR1114X,MATUTINO,GENERAL,26,545.83,564.57
09DPR1115W,MATUTINO,GENERAL,25,573.41,620.98
09DPR1117U,MATUTINO,GENERAL,26,552.55,602.57
09DPR1118T,MATUTINO,GENERAL,25,595.83,654.51
09DPR1119S,MATUTINO,GENERAL,15,551.11,535.98
09DPR1120H,MATUTINO,GENERAL,27,560.94,583.9
09DPR1122F,MATUTINO,GENERAL,26,515.84,552.79
09DPR1123E,VESPERTINO,GENERAL,15,499.19,463.28
09DPR1125C,MATUTINO,GENERAL,25,558.46,598.18
09DPR1127A,MATUTINO,GENERAL,25,552.92,556.87
09DPR1128Z,MATUTINO,GENERAL,16,537.67,563.27
09DPR1129Z,MATUTINO,GENERAL,27,589.39,541.35
09DPR1130O,MATUTINO,GENERAL,25,547.42,602.83
09DPR1132M,MATUTINO,GENERAL,25,596.68,625.49
09DPR1133L,MATUTINO,GENERAL,25,556.1,572.71
09DPR1134K,MATUTINO,GENERAL,26,543.58,566.4
09DPR1135J,MATUTINO,GENERAL,26,519.44,567.18
09DPR1136I,MATUTINO,GENERAL,26,563.82,482.05
09DPR1137H,MATUTINO,GENERAL,25,556.53,640.39
09DPR1141U,MATUTINO,GENERAL,25,610.4,605.08
09DPR1142T,MATUTINO,GENERAL,25,579.04,616.61
09DPR1145Q,MATUTINO,GENERAL,25,636.71,632.05
09DPR1146P,MATUTINO,GENERAL,18,552.59,549.44
09DPR1147O,VESPERTINO,GENERAL,18,459.93,512.51
09DPR1148N,MATUTINO,GENERAL,18,616.85,610.2
09DPR1150B,MATUTINO,GENERAL,18,549.3,593.53
09DPR1153Z,VESPERTINO,GENERAL,18,523.15,548.56
09DPR1154Y,MATUTINO,GENERAL,18,502.91,592.71
09DPR1155X,MATUTINO,GENERAL,18,570.79,572.03
09DPR1157V,VESPERTINO,GENERAL,17,489.34,570.21
09DPR1159T,MATUTINO,GENERAL,25,564.21,567.5
09DPR1160I,MATUTINO,GENERAL,17,575.77,544.78
09DPR1163F,VESPERTINO,GENERAL,20,516.1,589.67
09DPR1164E,MATUTINO,GENERAL,17,582.38,607.25
09DPR1165D,MATUTINO,GENERAL,26,596.93,571.93
09DPR1166C,MATUTINO,GENERAL,26,524.77,524.74
09DPR1172N,MATUTINO,GENERAL,25,541.96,593.54
09DPR1174L,MATUTINO,GENERAL,26,583.66,576.17
09DPR1175K,MATUTINO,GENERAL,18,506.21,542.07
09DPR1177I,MATUTINO,GENERAL,18,591.44,609.06
09DPR1178H,VESPERTINO,GENERAL,18,541.87,531.19
09DPR1181V,MATUTINO,GENERAL,18,680.76,580.97
09DPR1182U,VESPERTINO,GENERAL,17,542.99,578.53
09DPR1183T,VESPERTINO,GENERAL,17,531.41,498.54
09DPR1184S,MATUTINO,GENERAL,17,556.16,568.5
09DPR1185R,MATUTINO,GENERAL,17,541.51,572.19
09DPR1188O,MATUTINO,GENERAL,3,613.1,621.08
09DPR1189N,MATUTINO,GENERAL,3,565,603.52
09DPR1190C,MATUTINO,GENERAL,18,518.44,507.19
09DPR1192A,VESPERTINO,GENERAL,18,525.92,510.71
09DPR1194Z,MATUTINO,GENERAL,18,539.46,587.2
09DPR1195Y,MATUTINO,GENERAL,25,569.27,548.13
09DPR1196X,VESPERTINO,GENERAL,18,636.13,533.72
09DPR1197W,VESPERTINO,GENERAL,18,482.39,519.68
09DPR1198V,MATUTINO,GENERAL,18,540.81,538.07
09DPR1199U,MATUTINO,GENERAL,18,545.69,561.21
09DPR1200T,MATUTINO,GENERAL,26,461.32,519.47
09DPR1201S,VESPERTINO,GENERAL,18,516.5,541.82
09DPR1202R,MATUTINO,GENERAL,26,553.41,549.45
09DPR1204P,MATUTINO,GENERAL,18,481,550.38
09DPR1205O,VESPERTINO,GENERAL,18,518.17,557.26
09DPR1206N,MATUTINO,GENERAL,18,550.42,557.67
09DPR1208L,MATUTINO,GENERAL,18,514.48,459.73
09DPR1209K,MATUTINO,GENERAL,25,557.59,589.03
09DPR1212Y,MATUTINO,GENERAL,25,580.34,616.14
09DPR1213X,MATUTINO,GENERAL,25,543.02,590.67
09DPR1216U,MATUTINO,GENERAL,18,526.26,526.03
09DPR1217T,VESPERTINO,GENERAL,18,489.16,530.96
09DPR1219R,MATUTINO,GENERAL,25,564.33,585.9
09DPR1221F,MATUTINO,GENERAL,17,534.64,572.81
09DPR1222E,VESPERTINO,GENERAL,17,557.55,536.67
09DPR1223D,MATUTINO,GENERAL,18,480.08,537.29
09DPR1224C,VESPERTINO,GENERAL,18,418.48,484.52
09DPR1225B,VESPERTINO,GENERAL,18,499.63,515.07
09DPR1226A,MATUTINO,GENERAL,18,562.26,553.83
09DPR1227Z,MATUTINO,GENERAL,18,580.33,537.09
09DPR1229Y,MATUTINO,GENERAL,18,518.28,534.86
09DPR1230N,MATUTINO,GENERAL,25,598.79,573.29
09DPR1232L,MATUTINO,GENERAL,13,525.85,550.76
09DPR1233K,VESPERTINO,GENERAL,17,563,514.7
09DPR1234J,MATUTINO,GENERAL,13,556.5,552.49
09DPR1235I,MATUTINO,GENERAL,17,561.76,611.37
09DPR1236H,MATUTINO,GENERAL,18,538.84,557.81
09DPR1238F,VESPERTINO,GENERAL,18,617.76,508.76
09DPR1241T,MATUTINO,GENERAL,25,623.02,612.61
09DPR1242S,VESPERTINO,GENERAL,18,441.24,542.71
09DPR1244Q,MATUTINO,GENERAL,18,533.87,548.55
09DPR1245P,VESPERTINO,GENERAL,13,504.55,527.42
09DPR1246O,MATUTINO,GENERAL,18,585.21,548.48
09DPR1247N,VESPERTINO,GENERAL,18,508.11,520.71
09DPR1249L,MATUTINO,GENERAL,18,636.49,572.88
09DPR1250A,MATUTINO,GENERAL,16,543.82,551.16
09DPR1251Z,MATUTINO,GENERAL,25,559.88,577.94
09DPR1252Z,MATUTINO,GENERAL,18,568.9,574.99
09DPR1253Y,VESPERTINO,GENERAL,18,588.57,471.92
09DPR1254X,MATUTINO,GENERAL,18,546.93,552.3
09DPR1255W,MATUTINO,GENERAL,25,559.21,583.05
09DPR1257U,MATUTINO,GENERAL,18,555.07,572.56
09DPR1259S,MATUTINO,GENERAL,25,585.78,560.87
09DPR1261G,VESPERTINO,GENERAL,17,575.39,574.78
09DPR1262F,VESPERTINO,GENERAL,18,502.43,542.17
09DPR1263E,MATUTINO,GENERAL,18,549.08,577.24
09DPR1265C,MATUTINO,GENERAL,25,574.67,529.3
09DPR1267A,VESPERTINO,GENERAL,18,531,577.73
09DPR1268Z,MATUTINO,GENERAL,18,563.93,586.03
09DPR1269Z,VESPERTINO,GENERAL,18,531.64,511.41
09DPR1271N,MATUTINO,GENERAL,18,523.82,550.89
09DPR1272M,MATUTINO,GENERAL,18,520.52,532.88
